iter	TotalF1:average=Macro	MultiClass
0	0.5530999233	1.078677599
1	0.6032183114	1.056678656
2	0.6255082072	1.035628184
3	0.6294588275	1.017885034
4	0.6328273373	1.003868553
5	0.6398604543	0.9874365013
6	0.6419553648	0.972549753
7	0.6411233799	0.9612440027
8	0.6392436299	0.950433724
9	0.6458314696	0.938573755
10	0.6452127287	0.9291303025
11	0.6439853061	0.9212091754
12	0.6455038095	0.9135251054
13	0.6486230892	0.9035083587
14	0.6491597224	0.8959905504
15	0.6507317347	0.8884163652
16	0.6528948142	0.8793872297
17	0.6533336158	0.873757991
18	0.652498395	0.867894067
19	0.6534905584	0.8606178434
20	0.6539983273	0.8548738875
21	0.6555287497	0.8483840704
22	0.6569368413	0.8422271212
23	0.6575182573	0.837550947
24	0.658021574	0.8331030647
25	0.6590239101	0.8283869576
26	0.6592256263	0.8240025776
27	0.6611420411	0.8199421987
28	0.6609146112	0.816627659
29	0.6622497766	0.8129448257
30	0.6621940888	0.8096765787
31	0.6645073108	0.8044663466
32	0.6646740396	0.8017343051
33	0.6650474558	0.7976403925
34	0.666803741	0.7934823428
35	0.6673040241	0.7907941286
36	0.6691449551	0.7868313133
37	0.6704759586	0.7828937853
38	0.671108483	0.7800941939
39	0.6708268462	0.7775598517
40	0.6717884961	0.7751699593
41	0.6728230351	0.7717453227
42	0.6736283177	0.7692927083
43	0.6746746725	0.7667025117
44	0.6754460322	0.7647235716
45	0.6760463446	0.7626104246
46	0.6760679745	0.7603251902
47	0.6762331779	0.7589997133
48	0.6765553131	0.7564015989
49	0.6774356686	0.7542967162
50	0.6773987075	0.7523994061
51	0.6780625983	0.7504775025
52	0.6779897249	0.7487994943
53	0.6789557851	0.7469266357
54	0.6794771661	0.7443766277
55	0.6801527261	0.7427252767
56	0.6802523773	0.7411739617
57	0.6807857455	0.7389112579
58	0.6807734844	0.7379209801
59	0.68106482	0.7365973878
60	0.6818050849	0.7352149645
61	0.6826113569	0.7341225239
62	0.6830989777	0.7329955912
63	0.6824497371	0.7320541936
64	0.6831722585	0.7306360642
65	0.683709083	0.7292434521
66	0.6843718018	0.7277456721
67	0.684734882	0.7265958454
68	0.6850502992	0.725442453
69	0.6851802054	0.7243094731
70	0.6855366168	0.7235463135
71	0.6856520407	0.7225510283
72	0.6857523878	0.7218387466
73	0.6860493342	0.7204423533
74	0.6867521719	0.7186927967
75	0.6872929737	0.7168789023
76	0.6873852813	0.7157535313
77	0.6879983001	0.7147001363
78	0.6876829196	0.713001667
79	0.6887550883	0.7111615814
80	0.6894488516	0.7099595687
81	0.6898605608	0.7089889677
82	0.6903088171	0.7079312202
83	0.6904992489	0.7072984839
84	0.6907764654	0.7066779437
85	0.6914263557	0.7055675807
86	0.6918057083	0.7045890917
87	0.6922069326	0.7037327965
88	0.6926150745	0.7028280376
