iter	Passed	Remaining
0	140	56068
1	276	54997
2	418	55332
3	562	55681
4	704	55686
5	849	55792
6	989	55535
7	1130	55401
8	1269	55150
9	1410	55009
10	1548	54759
11	1682	54407
12	1828	54443
13	1968	54270
14	2108	54115
15	2255	54121
16	2393	53926
17	2532	53737
18	2680	53746
19	2824	53656
20	2962	53463
21	3103	53317
22	3244	53187
23	3382	52992
24	3519	52789
25	3655	52589
26	3796	52442
27	3931	52229
28	4073	52118
29	4212	51948
30	4350	51788
31	4501	51766
32	4638	51589
33	4775	51407
34	4912	51229
35	5048	51046
36	5196	50981
37	5335	50825
38	5463	50567
39	5593	50337
40	5733	50203
41	5874	50072
42	6017	49955
43	6154	49792
44	6293	49651
45	6424	49441
46	6564	49302
47	6693	49088
48	6833	48951
49	6971	48800
50	7099	48580
51	7231	48396
52	7359	48183
53	7498	48042
54	7639	47917
55	7774	47757
56	7906	47579
57	8043	47431
58	8173	47238
59	8301	47044
60	8436	46882
61	8572	46731
62	8712	46604
63	8840	46411
64	8980	46283
65	9122	46166
66	9259	46018
67	9390	45849
68	9520	45669
69	9662	45552
70	9798	45404
71	9929	45234
72	10060	45066
73	10204	44956
74	10345	44831
75	10486	44707
76	10629	44589
77	10762	44431
78	10900	44290
79	11037	44151
80	11167	43982
81	11311	43864
82	11446	43718
83	11579	43560
84	11710	43398
85	11847	43258
86	11987	43125
87	12130	43008
88	12271	42879
89	12413	42757
90	12545	42600
91	12679	42447
92	12818	42316
93	12955	42174
94	13102	42065
95	13244	41941
96	13384	41808
97	13525	41681
98	13655	41519
99	13786	41358
100	13914	41192
101	14057	41071
102	14193	40927
103	14337	40807
104	14470	40654
105	14609	40521
106	14742	40368
107	14876	40220
108	15016	40090
109	15155	39955
110	15304	39847
111	15446	39719
112	15595	39609
113	15735	39476
114	15871	39334
115	16005	39184
116	16146	39055
117	16291	38934
118	16437	38813
119	16578	38683
120	16708	38526
121	16851	38399
122	16988	38259
123	17124	38116
124	17263	37980
125	17393	37824
126	17525	37673
127	17660	37528
128	17797	37389
129	17942	37264
130	18071	37108
131	18203	36958
132	18340	36819
133	18478	36681
134	18614	36540
135	18751	36399
136	18885	36254
137	19019	36109
138	19169	35994
139	19310	35863
140	19457	35741
141	19600	35612
142	19735	35468
143	19882	35347
144	20022	35212
145	20166	35084
146	20298	34935
147	20435	34794
148	20576	34661
149	20711	34518
150	20848	34378
151	20986	34240
152	21125	34103
153	21257	33956
154	21392	33813
155	21524	33666
156	21659	33524
157	21797	33385
158	21945	33263
159	22079	33119
160	22222	32989
161	22369	32864
162	22505	32723
163	22656	32603
164	22798	32470
165	22935	32331
166	23071	32189
167	23203	32043
168	23335	31895
169	23472	31757
170	23603	31609
171	23732	31459
172	23872	31323
173	24006	31180
174	24146	31045
175	24295	30921
176	24430	30779
177	24562	30633
178	24702	30498
179	24852	30375
180	24986	30232
181	25123	30092
182	25263	29957
183	25399	29817
184	25537	29679
185	25683	29549
186	25818	29408
187	25954	29267
188	26092	29129
189	26234	28996
190	26369	28854
191	26504	28712
192	26644	28577
193	26784	28441
194	26922	28303
195	27052	28156
196	27192	28021
197	27332	27884
198	27503	27780
199	27651	27651
200	27779	27503
201	27929	27376
202	28066	27236
203	28201	27095
204	28338	26955
205	28473	26814
206	28617	26682
207	28747	26535
208	28882	26395
209	29029	26265
210	29169	26127
211	29308	25990
212	29437	25844
